Type,RB_Theme,Name,Description
Theme,Conflict,ACT_FORCEPOSTURE,Actions relating to changes in force posture
Theme,Violence;Conflict,ACT_HARMTHREATEN,Actions relating to harming or threatening
Theme,Miscellaneous,ACT_MAKESTATEMENT,Actions relating to making a statement
Theme,Miscellaneous,ACT_YIELD,Actions relating to yielding
Count,Miscellaneous,AFFECT,"This broad category captures everything from being sickened to refugees, evacuations, displaced persons, stranded, etc"
Theme,Economy;Food,AGRICULTURE,General discussion of agriculture
Theme,Politics;IR,ALLIANCE,Self-identified discussion of alliances and coalitions
Theme,Leadership,APPOINTMENT,An appointment of someone to something
Theme,Violence;Conflict;Weaponry,ARMEDCONFLICT,"Primary discussion of armed conflict, from ground assaults to air raids"
Count,Law Enforcement,ARREST,"Discussion of someone being arrested, detained, jailed, imprisoned, etc"
Theme,Violence,ASSASSINATION,Actual discussion of assassination
Theme,Government,AUSTERITY,Mention of austerity.
Theme,Accident;Infrastructure,AVIATION_INCIDENT,"Plane/helicopter crashes, collisions, accidents."
Theme,Government;Law Enforcement,BAN,"Something being banned, prohibited, outlawed, criminalized, etc"
Theme,Crime;Economy;Trade;Organized Crime,BLACK_MARKET,"Actual mentions of ""black market"", not related terms"
Theme,Sovereignty,BLOCKADE,Mentions of blockades and no fly zones - use in combination with the military themes to distinguish armed vs non-kinetic blockades
Theme,Sovereignty,BORDER,Any discussion of borders
Theme,Violence;Social;Conflict,BULLYING,"Explicit mention of the word ""bullying/cyberbullying"""
Theme,IR,CEASEFIRE,"Mentions of ceasefires, truces, peace deals, suspension of hostilities, etc"
Theme,Leadership,CHARASMATIC_LEADERSHIP,Charismatic leadership
Theme,Sovereignty,CHECKPOINT,Security checkpoints
Theme,Economy,CLAIM_CREDIT,"Claims of responsibility or credit, for good (claimed credit for the success) and bad (claimed credit for the bombing)"
Theme,Infrastructure;Military,CLOSURE,"Discussion of closure other than road, bridge, street, closure (ie, facility closure, military base closure, etc)"
Theme,Government;Law Enforcement,CONFISCATION,Actual mention of confiscation in the text
Theme,Government,CONSTITUTIONAL,Discussion of constitutionalism
Theme,Government;Organized Crime;Politics,CORRUPTION,"Corruption, kickbacks, embezzling, profiteering, etc"
Theme,Organized Crime,CRIME_CARTELS,"Primarily focused around mentions of drug cartels, drug corridors, etc.  Does not currently have a list of cartels, just captures general discussion of them"
Theme,Crime,CRIME_COMMON_ROBBERY,"Discussion of general crime like pickpocketing, robbery, street criminals, etc"
